x,y,population_density,traffic_flow,competitor_count,is_commercial
35.058.755.880.659.600,9.306.722.555.623.980,10.411.527.387.570.700,10.173.467.345.587.700,0,0
58.991.768.685.463.300,2.464.440.463.632.260,4.219.828.305.794.730,16.329.603.965.584.200,1,0
3.922.440.450.997.320,6.966.889.878.731.960,5.513.833.273.295.640,13.967.369.434.815.100,4,0
43.747.492.202.372.900,7.253.263.907.358.780,54.688.331.154.555.400,17.394.483.416.836.800,2,1
9.041.586.944.937.480,8.363.785.774.103.990,-4.715.869.452.401.420,5.643.994.627.073.630,0,0
3.482.554.670.233.000,9.744.393.106.384.750,2.800.409.229.999.060,10.195.781.944.872.700,0,0
5.139.894.891.598.100,9.756.019.191.566.520,5.674.796.552.195.310,2.060.753.755.656.790,0,0
783.653.012.741.143,6.527.675.756.646.380,8.058.359.107.624.910,3.244.569.190.297.180,0,0
3.965.427.823.212.700,8.218.393.227.529.020,2.199.048.534.244.030,12.230.091.693.851.500,1,1
6.220.867.002.278.730,6.463.099.336.573.810,61.731.304.672.598.200,13.124.005.819.299.000,3,0
8.623.637.087.467.450,6.473.421.343.730.910,16.202.318.107.339.200,3.515.845.304.930.560,1,0
949.520.623.657.642,1.283.499.266.146.940,-30.869.220.335.369.200,5.402.152.713.257.710,0,0
14.707.348.092.903.700,6.501.871.664.456.530,16.356.538.878.472.300,4.677.555.516.296.640,2,0
9.265.876.251.614.940,9.824.825.806.012.470,-4.094.383.652.430.870,4.005.487.668.711.820,0,0
4.921.162.930.795.380,911.818.569.539.447,18.637.650.392.473.400,2.030.310.748.684.910,1,0
25.824.438.829.895.800,4.391.306.608.048.500,41.940.459.515.039.200,6.008.189.287.801.280,1,0
45.913.575.623.826.100,3.994.797.328.609.430,5.984.440.300.289.170,2.090.878.731.453.850,0,0
980.032.575.285.477,36.229.349.000.020.400,4.329.639.143.993.470,43.753.375.053.141.500,1,0
4.926.180.939.928.690,8.263.903.116.005.550,3.212.465.859.580.270,21.399.296.344.248.300,1,1
32.875.161.028.750.800,701.499.101.465.166,3.774.925.183.864.930,881.408.779.305.274,1,0
6.334.008.543.167.250,4.593.436.555.939.560,8.436.970.954.107.560,10.500.111.828.691.300,2,1
24.014.561.877.819.300,5.510.153.515.883.100,5.893.193.753.568.160,6.311.895.000.034.770,0,0
7.586.332.810.866.390,4.268.947.278.233.020,1.112.342.421.221.350,5.567.599.682.523.450,1,0
12.887.972.191.064.900,4.690.249.397.178.830,14.710.453.570.020.600,5.051.165.336.771.950,1,0
12.804.583.895.777.200,9.285.555.328.941.350,3.499.548.607.419.140,5.281.149.971.334.760,0,0
15.190.269.351.229.400,6.410.861.035.821.590,14.974.553.976.876.100,4.438.078.504.011.720,0,0
13.882.717.264.941.000,3.116.529.166.546.480,16.368.120.088.833.700,4.196.267.336.294.820,1,0
6.408.747.448.032.140,5.253.182.644.507.210,7.449.451.965.317.840,11.320.373.032.828.100,2,1
18.188.008.439.914.400,6.605.530.782.216.000,23.418.646.755.909.200,48.712.426.324.818.000,0,0
3.456.672.833.238.630,9.725.682.356.497.360,2.887.828.536.729.950,9.478.996.912.781.360,0,0
8.967.884.099.060.110,360.059.901.930.726,7.976.785.375.872.200,5.285.540.363.776.820,0,0
4.739.616.402.628.720,4.778.673.549.131.350,1.007.747.503.605.260,19.765.313.615.198.100,7,1
6.675.577.385.210.270,3.552.839.742.369.220,5.579.338.223.387.240,7.255.673.118.321.150,2,1
17.231.987.120.162.900,6.825.117.301.162.000,20.856.309.621.691.400,635.615.393.815.686,1,0
19.228.901.880.867.000,662.232.158.329.593,1.669.474.830.456.670,5.253.010.816.341.390,2,0
4.086.861.626.647.880,7.153.223.105.291.350,7.209.786.352.365.340,47.977.435.558.307.400,0,0
16.893.506.307.216.400,26.814.322.961.192.000,20.492.985.905.467.100,5.493.373.467.463.300,2,0
2.785.903.390.319.580,31.566.848.116.406.500,34.078.865.536.910.100,652.950.754.531.675,2,0
1.770.104.842.767.460,12.525.123.109.620.700,10.376.626.764.021.500,5.848.488.647.506.460,0,0
887.025.337.570.556,6.555.099.718.461.120,8.130.625.685.325.410,5.541.165.720.719.050,0,0
1.206.358.711.006.000,3.979.712.733.565.250,-2.945.040.896.967.080,5.729.091.507.649.610,0,0
46.077.876.803.272.500,59.768.233.552.345.900,8.614.927.139.568.270,2.024.051.877.146.270,7,1
2.063.337.184.057.920,8.696.958.848.516.330,9.308.658.846.750.520,6.084.726.346.016.100,1,0
3.642.698.610.480.750,8.908.321.482.896.330,9.255.008.945.699.130,10.810.527.229.614.300,0,0
5.034.172.708.548.560,4.490.377.603.699.610,9.499.054.794.177.270,18.868.343.095.284.200,6,0
6.903.948.286.293.650,45.930.368.821.307.300,6.404.194.220.456.490,911.645.726.331.174,5,1
39.312.139.841.098.900,7.696.918.300.801.730,7.614.318.860.683.800,4.762.646.032.366.220,0,0
7.994.103.989.090.420,6.707.650.254.430.350,2.440.204.159.578.700,46.964.982.527.280.300,1,1
6.279.003.894.909.070,8.212.594.203.728.450,2.314.784.668.606.910,9.883.467.479.154.130,0,0
817.590.319.488.719,24.465.505.460.471.300,6.409.713.422.957.720,5.340.858.894.848.970,0,0
8.735.786.241.067.770,4.213.008.816.333.640,1.487.440.249.987.220,5.162.868.398.035.640,1,0
9.208.724.005.318.130,8.388.393.367.652.700,32.960.713.067.242.000,34.870.214.732.236.100,0,0
6.107.795.985.486.370,877.120.467.662.288,-12.612.754.940.454.400,545.425.736.045.323,0,0
27.687.764.814.720.300,24.317.998.026.422.500,2.739.865.772.805.630,5.746.478.790.932.640,0,0
8.062.012.797.930.610,55.057.063.454.136.400,28.097.630.173.456.900,7.828.396.535.208.100,1,1
7.482.596.903.836.580,19.249.315.063.582.700,17.579.607.711.284.800,5.118.895.444.455.160,0,0
1.845.210.193.563.770,10.187.876.413.955.600,3.273.390.622.818.930,46.682.947.148.616,0,0
2.093.493.233.367.100,9.111.205.013.919.570,48.117.218.735.546,43.448.472.694.166.400,0,0
370.472.102.791.382,8.205.075.042.321.090,20.967.303.557.656.700,12.760.831.316.180.800,0,0
4.845.229.851.910.210,7.600.349.018.031.730,39.769.607.334.508.300,1.944.864.227.860.650,1,1
61.825.477.153.029.500,4.876.631.881.314.040,1.353.521.518.560.940,1.172.975.562.240.570,1,0
36.891.363.956.977.200,8.437.287.927.102.570,1.525.530.213.653.170,12.059.582.508.084.700,3,1
4.625.347.161.331.470,43.804.407.590.538.300,9.268.562.120.579.980,17.603.003.919.247.700,7,1
7.474.709.381.337.560,3.423.951.232.958.590,34.730.804.951.662.200,632.695.529.156.254,2,1
366.832.028.905.979,54.647.636.102.537.600,96.829.469.765.356,6.781.726.872.899.720,1,1
25.243.694.434.402.000,9.135.324.272.355.580,44.269.756.126.622.700,6.266.854.149.290.190,1,0
7.133.495.858.845.520,7.566.465.493.523.980,2.220.396.164.472.870,7.178.461.281.158.640,1,0
8.952.068.376.871.990,5.824.350.768.882.950,8.709.884.127.211.330,5.876.148.604.310.140,0,0
51.167.744.211.566.600,18.659.009.687.316.700,30.683.288.285.294.100,21.607.783.898.868.700,1,1
53.211.348.526.531.500,1.882.321.997.690.450,33.440.859.451.721.000,20.456.039.822.023.400,2,0
10.717.201.133.977.600,18.424.865.157.267.400,7.977.735.552.769.350,5.446.356.379.260.590,1,0
44.741.236.682.345.400,5.700.238.755.193.390,1.044.026.594.147.950,1.896.680.566.116.230,1,0
53.261.726.645.502.300,5.877.984.493.716.840,9.152.989.484.442.030,18.337.001.426.243.400,5,1
24.247.050.363.472.900,840.348.177.588.508,1.535.223.834.405.830,6.320.720.340.171.580,1,0
26.924.323.094.938.000,174.982.139.873.886,3.795.803.472.746.880,50.411.163.126.608.600,1,0
37.728.416.310.462.200,4.900.464.497.127.350,8.455.755.310.759.160,11.697.542.063.817.800,0,0
2.007.119.777.772.630,5.727.702.766.869.450,42.960.683.089.852.100,19.175.872.772.644.500,1,0
3.220.791.655.831.780,8.194.956.853.860.520,14.707.232.072.724.600,8.482.444.495.985.710,0,0
21.144.800.699.654.400,3.267.388.905.686.330,2.221.622.923.460.510,4.589.513.781.546.870,1,0
3.274.973.521.779.140,3.496.143.988.077.220,5.193.426.810.933.330,9.498.983.438.783.610,1,1
11.976.213.181.925.100,5.963.464.974.967.750,1.479.484.602.696.520,5.401.070.841.864.910,1,0
890.527.280.739.895,274.212.889.124.147,13.636.825.027.443.500,6.131.413.093.888.270,2,0
59.359.245.355.404.800,2.660.836.607.768.410,5.687.375.700.226.960,135.965.092.747.656,1,0
6.791.023.191.444.890,7.352.285.181.015.960,37.069.998.179.632.400,9.055.100.053.531.690,1,0
7.891.712.386.073.380,6.256.499.129.414.530,27.558.081.864.583.900,7.335.104.534.914.580,4,0
4.984.421.989.290.570,5.807.559.990.556.590,912.336.830.212.473,20.762.338.352.215.300,5,1
869.202.880.874.237,7.416.841.289.918.230,17.222.652.659.529.100,5.793.305.676.993.230,0,0
5.371.065.418.185.470,6.752.308.375.620.370,6.473.572.698.067.600,19.171.671.218.741.300,2,1
5.868.411.180.208.790,20.588.198.817.832.100,32.444.787.435.108.100,14.763.362.542.853.100,0,1
7.454.394.741.843.290,3.524.810.469.433.510,35.901.261.024.151.000,6.499.070.525.005.770,3,1
4.316.595.462.296.790,126.110.141.678.625,19.263.099.829.589.400,15.370.033.037.024.900,2,0
12.758.030.279.556.300,12.985.701.341.788.100,3.730.162.373.437.850,45.968.443.262.474.300,0,0
28.377.590.579.872.400,6.761.957.463.565.390,36.757.330.135.315.100,4.677.267.530.204.340,1,0
3.630.822.963.986.350,8.586.001.069.824.980,22.298.766.502.295.100,10.171.468.544.716.200,1,0
6.459.172.413.316.010,9.627.325.838.611.390,49.907.865.735.648.100,108.150.727.374.602,0,0
57.077.830.466.891.100,62.834.711.754.944.400,7.993.910.735.325.200,1.718.181.754.404.930,9,1
3.560.967.258.978.460,18.410.132.336.095.600,20.970.331.960.365.100,1.037.713.791.870.090,0,1
9.865.152.487.929.790,1.056.503.454.489.300,2.871.516.302.816.030,5.170.509.706.519.690,1,0
60.577.481.935.688.700,8.128.509.715.367.570,2.836.555.252.802.780,11.687.279.846.174.200,1,0
2.372.267.917.359.940,57.875.647.635.999.900,39.662.710.223.557.100,51.024.390.147.471.900,3,1
10.178.247.262.040.300,6.182.850.210.137.190,4.502.477.324.196.170,4.324.051.345.854.380,1,0
15.285.913.918.433.200,7.814.620.887.547.090,8.291.246.110.168.920,43.771.912.968.180.900,0,0
24.595.772.838.450.800,7.032.772.277.324.510,303.185.294.913.971,6.194.798.988.875.200,0,0
1.606.813.732.595.550,8.344.582.528.560.960,7.439.673.807.845.200,4.186.908.162.966.880,1,0
18.656.702.405.130.500,5.621.390.545.987.840,38.351.436.341.776.100,45.056.842.497.406.400,0,0
2.850.951.686.938.470,7.475.206.367.465.040,2.093.591.685.305.330,44.030.346.931.763.000,0,0
1.733.735.952.947.540,8.508.527.573.220.950,3.495.610.180.005.790,47.782.304.093.200.100,0,0
8.967.654.246.264.250,28.613.504.245.831.400,912.455.635.293.891,39.178.864.380.304.300,1,0
8.023.374.566.164.220,6.404.472.739.932.520,9.868.154.775.239.430,50.814.410.125.180.300,0,0
52.451.138.957.025.400,31.416.206.383.697.200,6.809.874.547.893.860,18.604.986.719.225.800,2,1
4.103.968.269.896.610,957.971.066.482.454,613.920.173.779.209,15.144.910.280.166.900,0,0
9.823.786.169.086.060,33.423.572.435.503.700,157.640.743.634.902,4.855.447.073.792.730,0,0
11.203.890.216.805.200,5.797.928.438.329.550,14.120.760.891.183.100,6.680.127.616.477.180,0,0
39.785.559.904.574.100,1.665.035.470.495.150,18.895.776.508.242.200,14.400.110.879.747.500,1,0
9.694.704.332.753.680,7.122.202.051.771.580,-31.448.486.331.219.800,3.160.607.661.669.120,0,0
8.655.071.258.939.800,17.589.028.341.866.200,6.356.934.926.743.450,37.539.521.027.624.400,0,0
81.707.207.094.928,23.538.326.189.835.700,12.382.314.127.245.500,5.153.610.938.130.660,1,1
25.790.282.704.493.900,4.943.708.110.457.580,461.903.789.156.752,48.706.655.721.713.000,2,1
17.088.758.739.006.500,914.834.949.996.878,-18.529.551.045.549.400,20.983.216.669.144.400,0,0
668.643.219.924.431,21.171.437.214.797.000,2.668.828.353.043.730,9.967.915.487.356.200,2,0
9.293.759.891.275.850,14.424.002.111.810.300,12.537.144.834.384.400,5.721.712.293.017.080,0,0
5.567.628.930.139.290,7.589.768.318.540.300,432.054.548.060.485,18.289.064.452.430.700,5,0
57.161.268.946.989.900,500.619.532.333.931,9.938.237.364.653.360,15.999.943.594.293.300,1,1
27.997.909.366.028.400,9.117.851.123.817.710,13.227.972.304.569.300,6.760.887.666.395.820,0,0
7.694.929.331.919.360,14.661.455.715.984.200,6.369.446.787.149.210,46.928.569.527.238.000,0,0
18.704.374.855.752.300,6.459.278.930.230.390,21.898.840.050.216.100,5.316.882.597.483.790,0,0
32.367.923.640.424.300,23.287.914.615.181.500,3.215.342.014.068.610,7.248.998.455.166.280,2,0
4.254.364.386.164.160,1.567.604.286.516.390,16.482.557.028.736.300,1.787.589.714.504.460,1,1
507.610.378.684.455,6.834.294.151.572.700,7.142.668.447.286.800,1.838.638.778.393.770,3,1
24.240.973.241.508.000,5.936.846.199.087.330,39.504.764.119.104.400,6.775.859.096.319.080,1,0
11.483.682.473.920.300,7.548.274.583.623.310,666.430.727.528.054,50.479.252.588.701.300,0,0
6.106.200.424.416.320,30.946.257.644.618.200,539.168.956.776.549,1.264.581.587.118.710,3,0
28.863.055.324.025.500,4.479.716.563.821.890,5.399.659.644.119.650,6.773.728.089.015.160,4,0
58.123.822.142.261.200,40.547.167.633.041.800,8.549.443.855.032.760,16.517.393.471.936.300,3,0
15.436.271.527.420.200,9.840.894.639.665.140,-20.052.599.948.918.900,6.404.935.787.654.740,0,0
48.114.010.185.481.700,2.922.489.567.393.870,5.908.119.712.613.570,20.048.729.443.747.900,4,1
53.258.943.255.158.500,29.481.723.834.676.600,5.714.994.054.289.050,18.333.531.025.880.900,4,0
5.182.353.682.242.690,3.545.482.088.286.070,3.947.116.122.879.280,50.562.823.905.469.100,0,0
33.660.427.819.392.000,5.645.940.812.903.210,7.574.300.220.411.730,10.764.528.667.561.700,5,1
13.441.467.693.897.400,25.232.274.426.374.500,9.995.420.573.117.620,6.366.465.253.035.490,0,0
6.337.497.047.276.770,9.152.899.403.792.730,2.908.376.777.520.820,5.909.850.818.464.560,0,0
9.899.602.323.899.450,2.656.855.648.662.630,5.917.899.277.380.990,5.795.778.902.503.490,0,1
32.235.384.497.472.200,8.958.157.315.601.940,5.245.695.181.617.940,8.795.547.385.828.490,1,0
8.098.744.458.546.340,10.347.506.364.658.400,9.475.431.009.344.550,6.282.064.262.416.430,0,0
25.464.065.476.376.300,6.565.627.023.996.520,2.715.636.887.607.150,5.282.701.727.876.670,2,0
6.815.027.222.239.290,9.069.855.184.382.430,604.915.524.433.565,6.533.850.003.914.120,0,0
7.602.278.598.896.860,16.874.943.839.822.900,9.504.814.851.990.160,5.576.697.309.369.590,0,0
5.956.387.406.078.440,968.326.960.099.255,7.495.221.574.420.670,13.676.909.699.802.200,1,0
4.715.761.885.501.580,4.528.833.604.155.110,9.694.202.211.525.870,18.351.119.873.342.300,3,0
4.118.409.141.472.680,9.457.151.084.410.240,7.073.738.144.003.210,14.449.790.275.788.600,0,0
3.488.682.665.429.950,676.820.043.630.047,5.081.214.968.201.150,1.227.282.255.980.060,1,1
9.295.291.442.478.250,30.158.686.987.355.100,31.573.555.756.994.100,5.137.603.153.491.420,0,0
8.306.194.077.877.290,1.883.025.249.171.060,3.079.595.571.048.090,5.425.363.778.454.330,0,0
9.650.269.106.665.120,3.037.350.462.250.990,6.318.913.506.253.810,3.777.939.384.028.700,0,0
12.429.722.348.554.400,9.301.740.926.267.490,42.415.922.854.823.300,31.691.592.936.978.400,0,0
7.308.674.752.036.440,14.386.796.634.332.900,15.276.316.252.404.200,5.224.948.564.055.430,3,0
9.383.404.568.210.370,10.466.044.034.648.100,-10.863.806.753.303.800,6.439.204.310.731.900,0,0
18.123.306.616.566.000,4.229.435.437.415.570,28.148.687.133.473.300,5.427.516.469.401.140,0,0
66.496.267.366.777.400,7.955.783.762.575.860,23.516.605.174.426.500,5.599.840.584.113.420,0,0
7.411.206.492.900.590,14.138.355.421.634.000,13.259.140.578.010.900,6.558.191.191.486.410,1,0
5.744.731.131.799.110,13.032.043.317.233.500,19.969.965.610.513.000,15.775.918.328.278.500,2,0
841.828.776.758.272,6.434.289.495.173.300,18.580.852.782.357.000,6.431.495.997.228.130,2,0
1.397.723.766.262.890,1.971.829.819.680.660,5.258.421.698.056.120,4.390.011.741.370.960,3,0
7.952.673.118.598.900,976.100.381.089.916,732.617.210.066.689,6.598.073.225.644.040,1,0
20.162.732.004.774.400,16.684.857.820.557.700,10.147.558.972.038.200,561.725.083.599.843,0,1
1.636.559.428.657.040,9.237.313.958.767.760,52.393.392.048.503.600,3.263.382.764.063.000,0,0
16.426.579.793.099.200,8.214.712.527.761.900,2.732.014.251.787.020,43.055.039.491.629.400,0,0
8.145.747.202.313.820,3.540.645.623.550.940,21.376.572.795.015.300,3.321.539.931.225.120,0,1
6.651.972.206.962.000,6.558.207.673.273.920,5.703.202.115.835.480,9.995.884.780.211.470,3,1
5.230.654.247.691.190,5.372.756.736.680.380,10.106.621.454.293.300,19.581.514.444.939.600,7,0
3.588.304.841.235.020,677.124.263.482.564,4.932.518.039.907.730,8.309.520.029.477.690,2,0
8.772.005.408.131.080,6.826.711.524.627.590,7.625.765.567.032.990,5.387.951.239.469.840,1,0
39.244.510.742.263.500,628.734.015.059.993,7.416.920.692.541.550,12.874.736.454.687.100,5,1
8.165.994.394.715.770,26.610.136.853.730.800,11.009.586.751.461.200,36.160.817.122.607.000,2,0
4.391.349.085.702.180,3.900.642.076.281.810,8.230.011.323.053.650,1.914.168.844.421.340,1,0
3.769.444.294.249.070,4.555.667.819.901.080,7.888.966.830.188.880,12.142.418.393.081.300,4,1
4.626.797.856.696.060,8.909.738.846.907.030,19.392.581.612.406.800,1.869.751.285.020.680,1,0
3.013.778.741.641.420,5.694.972.585.185.750,55.181.683.176.310.500,6.687.126.832.307.370,2,1
7.476.093.801.762.510,8.323.910.417.019.070,15.108.503.069.785.100,41.861.641.732.892.700,0,0
5.027.203.900.924.790,9.916.243.429.612.280,5.428.485.998.018.230,1.868.990.173.549.270,0,0
2.322.126.951.468.170,16.361.620.413.827.600,1.067.475.975.020.070,6.700.757.981.316.930,1,0
8.995.745.732.745.680,6.917.776.391.419.820,26.712.623.616.168.100,45.312.353.849.023.700,0,0
3.838.912.213.732.110,6.742.935.737.000.240,5.118.765.804.147.430,1.266.657.796.271.750,1,0
5.435.528.611.139.880,9.799.554.473.582.780,4.823.176.315.028.870,1.659.841.093.629.210,0,0
906.472.110.964.547,9.856.007.339.528.000,14.059.129.319.032.200,36.857.840.531.072.200,0,0
6.242.379.959.139.920,6.866.786.117.241.290,499.608.793.090.628,12.542.837.476.678.600,2,0
11.689.804.070.836.400,24.361.479.198.219.400,375.497.910.792.787,5.387.463.540.962.040,0,0
9.398.321.236.134.750,7.985.558.381.305.990,4.608.035.092.901.950,6.754.319.972.880.670,0,0
62.770.805.307.141.700,1.070.291.342.110.380,13.522.567.459.084.400,12.979.444.014.653.600,0,0
3.349.056.146.570.860,7.806.993.041.716.280,26.151.044.515.766.700,8.608.406.047.761.100,2,0
13.927.207.266.338.700,9.101.961.241.446.960,474.032.372.206.652,5.495.365.050.864.730,0,0
794.025.189.270.296,3.828.333.947.684.350,25.063.901.438.317.300,48.823.886.090.142.000,1,0
6.200.727.559.285.130,6.306.352.949.830.800,6.639.875.731.503.730,14.349.719.968.967.900,2,0
5.334.610.919.763.210,4.301.427.320.968.260,9.771.834.958.518.390,20.332.353.716.031.800,8,0
8.938.925.830.509.570,43.776.505.498.812.800,1.390.451.992.935.860,5.176.097.513.398.160,1,0
7.885.972.112.245.300,31.037.088.910.812.000,2.290.281.148.388.420,5.433.476.234.983.570,2,0
15.167.487.973.275.100,7.621.296.204.503.240,16.214.368.662.321.900,6.479.638.757.245.280,0,0
31.172.206.779.554.800,9.361.765.641.665.050,17.552.277.353.657.000,812.837.415.943.457,0,0
24.848.913.981.446.500,9.407.508.592.344.610,6.388.842.789.164.670,7.193.180.399.343.290,0,0
743.946.292.572.677,17.478.128.487.493.300,17.661.586.506.038.400,35.716.887.196.856,2,0
3.353.243.473.577.930,874.743.649.656.566,16.409.549.894.709.700,5.461.510.841.383.090,0,0
5.698.896.848.713.160,7.374.314.414.271.220,4.907.841.134.497.050,16.234.195.696.938.500,2,0
7.624.586.857.406.900,25.283.740.069.028.900,16.751.531.311.879.400,7.235.318.976.852.300,0,0
8.767.656.367.617.490,6.728.461.292.151.450,-4.275.001.107.002.580,6.558.804.786.454.460,0,0
3.420.817.487.159.070,26.799.726.688.437.700,38.515.890.958.431.900,9.343.713.382.345.150,4,0
8.212.573.046.720.120,9.122.082.367.815.250,5.686.552.380.423.010,6.621.729.539.092.820,1,0
11.063.173.695.520.700,6.331.786.748.957.720,15.404.413.368.280.800,6.790.770.011.747.500,0,1
8.464.522.917.345.180,7.210.546.608.978.710,1.681.839.179.204.590,51.115.337.272.436.900,0,1
12.748.866.233.198.200,25.715.235.110.909.500,82.413.908.823.989,7.486.483.476.370.100,0,0
3.972.872.905.603.670,7.193.881.555.748.200,5.160.272.256.582.470,13.819.877.647.586.100,2,0
7.972.953.657.795.530,2.812.150.627.792.370,10.213.586.642.808.200,4.966.132.174.356.360,1,0
14.991.742.734.877.300,3.753.213.457.730.130,20.500.748.738.242.900,5.898.590.251.957.350,1,0
2.292.513.952.326.410,6.267.533.485.423.310,33.343.887.940.794.300,50.301.795.400.845.700,4,0
7.222.525.683.930.660,14.609.656.554.132.000,12.606.783.467.468.500,6.354.353.486.784.830,0,0
7.200.365.365.460.740,8.230.035.744.469.340,1.608.830.426.520.470,7.742.186.894.467.760,2,0
6.411.476.328.852.970,23.503.129.881.191.800,2.759.798.627.153.250,10.558.792.215.999.100,1,1
6.939.484.444.671,6.522.811.128.184.460,4.339.104.073.193.040,5.592.003.545.980.430,1,1
5.427.244.433.475.960,4.051.971.425.753.290,876.650.626.168.227,1.905.890.284.885.210,7,0
25.179.905.890.695.200,59.604.359.547.764.700,36.195.096.677.224.400,4.992.967.498.805.110,4,1
3.456.959.935.039.190,10.745.055.262.890.800,1.331.324.351.982.980,10.426.371.419.828.800,0,0
18.159.771.680.142.500,16.912.799.921.607.300,4.137.778.170.728.400,5.790.520.235.597.230,0,0
9.084.505.613.336.280,9.095.644.273.803.010,25.080.217.907.060.500,6.474.976.232.199.020,1,0
58.339.179.476.612.000,2.696.300.087.671.820,438.587.748.843.231,16.502.091.957.017.100,3,0
4.008.514.167.636.390,8.196.770.027.804.590,2.879.276.951.731.790,15.265.663.859.328.500,1,1
4.620.058.036.441.320,9.993.503.004.722.000,10.461.918.252.788.300,18.286.383.108.615.400,1,0
9.472.833.396.118.150,21.143.125.799.891.100,33.376.964.921.205.100,5.804.665.373.910.140,0,0
1.533.514.031.160.800,2.651.707.411.833.550,1.270.789.875.546.230,7.005.326.627.850.180,0,0
5.862.298.320.167.970,6.628.597.876.346.650,66.015.795.142.368,14.653.947.158.937.700,3,0
505.888.678.884.466,9.654.486.346.006.210,8.255.017.145.401.290,2.177.375.342.061.820,1,0
6.114.542.354.346.470,9.158.143.481.907.430,9.502.692.224.507.540,12.510.926.490.570.700,1,0
18.110.183.820.840.500,5.028.755.200.655.840,5.383.102.802.997.890,4.148.164.757.143.240,0,0
8.721.239.089.441.510,7.951.102.825.267.240,868.025.980.900.089,5.310.961.542.728.220,0,0
9.321.182.824.836.120,13.574.585.309.990.100,8.882.056.512.609.800,5.717.232.877.899.190,1,0
5.651.331.835.892.080,9.774.381.842.040.120,1.289.086.578.909.990,18.044.806.030.650.000,0,0
6.966.508.238.768.920,9.643.532.340.359.860,3.852.565.166.348.150,6.207.685.833.522.000,0,0
9.224.993.811.772.950,16.372.895.787.917.000,-9.287.160.585.868.810,5.436.534.848.044.440,0,0
7.072.386.343.133.980,2.994.231.248.031.060,40.130.851.278.783.900,6.066.269.590.824.730,0,1
15.253.904.291.426.100,10.015.499.750.676.600,12.337.684.507.962.100,35.469.279.618.296.700,0,0
5.762.883.601.668.130,2.717.175.988.981.790,4.414.357.392.589.010,15.284.047.127.382.100,3,0
6.067.150.463.828.550,8.159.557.894.152.060,26.817.060.027.399.900,12.737.029.553.719.700,2,0
424.130.671.302.386,3.783.156.071.652.590,8.256.661.636.287.160,1.677.018.135.595.240,5,1
7.364.442.356.247.220,8.839.696.714.675.830,7.972.067.199.320.540,7.068.667.458.699.470,0,0
9.343.670.147.690.140,3.422.255.247.789.040,7.542.431.097.497.120,35.279.930.686.593.900,0,0
9.255.685.129.067.760,98.138.333.424.128,18.013.166.730.081.600,5.353.712.407.749.100,0,0
4.508.393.714.041.320,6.296.835.952.592.020,828.732.915.521.061,1.711.595.952.414.800,5,1
11.323.804.584.075.500,4.161.609.464.061.570,11.496.067.952.050.100,5.637.555.701.337.090,0,0
9.848.411.989.623.340,16.653.851.349.727,9.833.952.748.515.020,43.773.873.395.764.200,0,0
8.388.980.864.459.340,9.861.767.972.836.940,-11.830.426.739.325.200,39.967.675.022.184.700,0,0
12.466.268.120.326.600,8.208.490.092.631.280,12.428.343.587.946.400,581.275.519.285.228,0,0
9.208.418.826.173.720,2.814.773.024.509.190,50.308.553.043.306.900,4.415.216.549.727.300,0,0
8.698.963.620.621.280,7.006.869.572.118.940,51.170.186.238.811.200,470.006.889.550.944,1,0
5.188.380.571.260.720,5.662.555.737.755.800,10.228.814.590.914.700,17.516.203.981.464.800,1,0
59.127.543.574.492.900,12.037.814.950.553.300,16.807.021.219.315.400,15.836.213.099.006.700,0,0
3.990.027.038.701.300,5.807.685.836.144.210,8.157.487.534.551.300,148.281.378.154.972,6,1
5.476.163.882.203.130,9.287.634.212.054.920,24.129.862.159.831.900,50.062.015.912.237.500,0,0
33.519.724.164.590.000,49.674.342.800.598.400,688.014.641.816.283,733.004.804.707.976,3,0
8.028.534.485.980.110,8.429.454.824.561.970,6.376.203.349.166.110,6.362.270.829.780.480,0,0
4.632.023.004.602.850,44.588.661.985.980.700,50.630.787.923.855.900,43.338.070.063.084.300,0,0
3.334.991.716.911.440,7.085.835.457.678.250,4.188.292.042.243.430,829.727.686.440.309,4,1
3.981.686.935.909.430,7.318.727.372.865.000,4.581.793.444.766.320,16.243.410.968.593.100,4,0
5.373.956.029.379.220,17.396.370.590.333.800,2.560.703.707.895.660,18.283.368.008.659.900,2,0
9.198.556.164.127.600,36.121.605.897.581.100,7.546.880.463.895.920,5.744.439.665.773.600,0,0
34.634.599.436.596.100,6.373.021.565.380.230,6.828.862.651.688.370,10.169.072.188.409.900,1,0
3.469.532.018.962.270,7.069.660.818.436.610,10.173.320.768.984.100,1.004.025.059.724.730,0,0
7.375.012.481.097.480,3.615.401.877.629.560,4.011.810.792.064.660,6.175.783.829.455.710,1,1
45.221.794.088.980.700,53.479.946.628.119.200,9.502.672.311.705.450,18.758.166.718.284.700,4,1
22.460.482.293.998.100,9.962.244.930.446.380,430.872.578.155.537,5.610.155.088.608.200,0,0
4.524.395.161.326.930,4.745.335.626.224.400,960.348.105.869.839,18.344.002.134.667.800,2,0
14.085.702.037.979.900,8.160.567.571.143.230,6.599.956.539.372.080,6.535.010.310.353.120,0,0
1.763.869.865.062.230,43.206.728.506.661.700,19.852.033.142.131.400,37.671.404.646.774.000,1,0
4.983.677.727.394.790,796.390.722.619.709,28.641.359.510.331.900,21.019.460.112.720.300,0,0
